"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","3","1","0","15","4","1","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","6","11","6","107","11","3","0","48","1","6","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","3","28","14","184","26","15","1","49","1","19","7","3","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"2歳","2","0","10","28","140","23","6","3","11","0","5","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","1","12","54","156","21","3","2","3","0","2","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"4歳","1","0","13","48","164","23","1","4","1","0","2","3","2","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0"
"5歳","1","0","8","84","151","16","1","5","0","0","2","4","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6歳","0","1","7","57","76","8","2","2","0","1","1","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","1","0","2","46","83","7","2","1","0","0","2","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","33","59","1","1","1","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","1","0","19","58","7","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","6","0","1","46","115","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","4","0","0","3","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","3","0","0","14","52","0","0","0","0","2","1","2","0","0","0","5","0","1","1","0","0","0","0","0","0","0","0","0"
"30〜39歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","26","15","93","452","1376","150","35","19","116","5","43","40","10","3","0","21","1","1","6","0","0","0","0","0","0","0","0","0"
