"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央区","7","2","2","4","0","0","0","0","0","",""
"みなと","10","3","0","3","0","0","6","0","0","",""
"新宿区","40","14","14","38","1","1","39","7","1","",""
"文京","0","0","0","0","0","0","12","3","0","",""
"台東","0","0","0","3","0","0","0","0","0","",""
"墨田区","6","0","4","2","0","0","2","2","0","",""
"江東区","12","5","4","11","0","0","0","0","0","",""
"品川区","2","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","6","1","0","6","0","0","2","0","0","",""
"世田谷","0","0","0","0","0","0","8","0","1","",""
"渋谷区","10","2","2","0","0","0","7","0","0","",""
"中野区","2","2","0","2","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","18","7","11","11","0","1","2","0","0","",""
"北区","1","1","0","1","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","2","1","1","1","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","1","0","0","2","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","3","4","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"八王子","0","0","0","0","0","0","3","0","0","",""
"町田市","0","1","0","0","1","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","",""
"多摩府中","2","0","0","1","0","0","0","0","0","",""
"多摩小平","0","0","0","0","0","0","7","7","1","",""
"島しょ","0","0","0","0","0","0","0","1","0","",""
"合計","119","39","38","85","2","2","91","24","3","",""
