"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","7","1","0","0"
"1〜4歳","0","0","0","0","0","0","6","9","1","0"
"5〜9歳","0","0","0","0","0","0","4","0","0","0"
"10〜14歳","0","0","0","0","0","0","3","0","0","0"
"15〜19歳","6","2","3","2","1","0","4","0","0","0"
"20〜24歳","39","11","13","17","1","1","0","1","0","0"
"25〜29歳","39","14","14","16","1","3","1","1","0","0"
"30〜34歳","26","19","10","15","0","5","1","1","0","0"
"35〜39歳","17","11","7","20","2","1","2","0","0","0"
"40〜44歳","14","11","10","4","2","0","1","0","1","0"
"45〜49歳","13","9","10","8","0","2","0","1","0","0"
"50〜54歳","8","7","4","4","2","0","1","0","0","0"
"55〜59歳","2","4","2","1","1","0","3","1","0","0"
"60〜64歳","1","3","0","1","1","0","4","2","0","0"
"65〜69歳","1","1","0","0","0","0","5","2","0","0"
"70歳以上","0","2","0","0","0","0","33","10","1","0"
"合計","166","94","73","88","11","12","75","29","3","0"
