"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","15","1","1","15","0","28","0","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","54","15","2","105","1","236","0","44","0","52","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","96","46","22","172","5","765","4","85","0","149","0","10","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","31","27","40","141","6","483","1","17","0","103","4","6","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1"
"3歳","1","17","54","55","95","4","288","1","4","1","57","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","3","9","38","72","93","9","208","4","3","0","59","10","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","5","0","22","61","83","9","117","6","1","0","36","11","3","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"6歳","1","1","16","47","53","10","53","0","1","0","23","12","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","9","0","3","44","47","11","36","2","0","0","6","11","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1"
"8歳","3","0","8","42","39","8","25","3","0","1","8","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","3","0","4","21","31","3","18","1","0","0","8","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","3","0","3","44","90","7","13","1","0","0","7","15","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","2","7","16","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","6","26","100","1","30","2","0","2","5","1","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","38","223","245","484","1080","74","2301","25","156","4","516","86","37","1","1","31","2","0","2","0","0","2","0","0","2","0","1","0","2"
