"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","5","1","0","0"
"1〜4歳","0","0","0","0","0","0","6","11","0","0"
"5〜9歳","0","0","0","0","0","0","3","4","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","3","0","2","4","0","0","2","0","0","0"
"20〜24歳","18","4","5","6","0","4","1","0","0","0"
"25〜29歳","26","5","12","18","0","4","1","1","0","0"
"30〜34歳","23","16","7","24","1","0","3","0","0","0"
"35〜39歳","19","9","8","9","0","1","2","0","0","0"
"40〜44歳","18","7","2","7","0","2","1","2","0","0"
"45〜49歳","11","11","4","8","0","0","3","1","0","0"
"50〜54歳","5","5","5","4","1","0","0","0","0","0"
"55〜59歳","2","3","1","4","0","0","5","0","1","0"
"60〜64歳","5","5","0","2","0","0","3","0","0","0"
"65〜69歳","1","2","0","1","0","0","2","0","1","0"
"70歳以上","1","3","0","1","0","0","28","5","1","0"
"合計","132","70","46","88","2","11","66","25","3","0"
