"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","0","1","6","33","12","14","0","3","1","31","7","0","0","0","2","0","0","0","0","","","","","",""
"区南部","0","0","4","5","32","2","23","3","3","0","31","0","2","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","0","4","1","18","4","14","0","3","0","24","8","3","0","0","0","0","0","0","0","","","","","",""
"区西部","0","0","11","4","39","8","14","0","3","0","16","10","1","0","0","2","0","0","0","0","","","","","",""
"区西北部","0","0","6","4","16","5","21","0","5","0","43","4","1","0","0","3","0","0","0","0","","","","","",""
"区東北部","0","0","7","8","19","3","7","0","2","0","34","22","1","0","0","1","0","0","2","0","","","","","",""
"区東部","0","1","9","5","28","5","16","1","7","0","46","2","0","0","0","2","0","0","0","0","","","","","",""
"西多摩","0","0","0","0","4","3","2","0","3","0","12","1","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","2","0","11","25","34","11","34","1","6","0","44","5","10","0","0","1","0","0","0","0","","","","","",""
"北多摩西部","0","0","3","0","15","0","0","0","0","0","9","0","0","0","0","0","0","1","0","0","","","","","",""
"北多摩南部","0","0","2","3","9","0","4","0","9","0","14","0","1","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","3","6","15","3","7","1","4","0","24","0","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2","1","61","67","262","56","156","6","48","1","331","59","19","0","0","12","0","1","2","0","","","","","",""
