"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","1","0","2","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","2","2","0"
"中央区","0","3","1","2","3","0","6","0","4","0","0","0","0","0","0","1","0","0","0","0","0","5","3","1","0","0","0"
"みなと","0","5","4","1","9","10","13","0","4","1","0","0","1","0","0","0","0","0","0","0","0","9","6","0","1","1","0"
"新宿区","0","14","0","8","15","2","3","0","4","0","0","0","1","1","0","0","0","1","1","0","0","11","8","1","2","2","0"
"文京","0","6","2","1","2","3","4","0","4","0","0","1","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","0","5","0","3","19","3","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","1","3","1","1","3","5","6","0","4","0","0","0","1","0","0","0","1","0","0","0","0","8","5","1","1","1","0"
"江東区","0","13","1","10","53","2","28","0","7","0","5","4","3","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","0","2","1","2","22","0","12","0","11","0","1","1","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","0","1","0","1","11","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"大田区","0","26","10","11","64","3","27","3","5","0","2","2","3","0","0","1","0","0","0","0","0","21","13","2","1","1","0"
"世田谷","0","9","0","13","32","7","28","7","5","0","7","4","5","0","0","0","1","0","0","0","0","25","16","2","2","2","0"
"渋谷区","0","3","0","1","10","4","4","0","6","0","0","0","0","0","0","1","0","0","1","0","0","7","4","1","1","1","0"
"中野区","0","4","0","4","20","1","7","0","4","0","1","0","0","0","0","0","0","0","0","0","0","11","7","1","1","1","0"
"杉並","0","3","0","1","33","1","3","0","3","0","1","1","0","0","0","0","0","0","0","0","0","15","10","1","1","1","0"
"池袋","0","9","1","2","13","0","2","0","0","0","5","0","1","0","0","1","0","0","0","0","0","8","5","1","1","1","0"
"北区","0","3","1","3","27","0","8","0","3","0","0","3","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","0","19","2","6","8","0","6","0","3","0","1","2","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","0","1","1","3","17","6","9","0","1","0","4","2","5","0","0","4","0","0","0","0","0","16","10","2","1","1","0"
"練馬区","0","6","1","4","38","6","21","0","10","0","2","1","0","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","0","13","5","13","54","7","15","2","2","0","5","10","0","0","0","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","0","1","2","2","31","4","9","2","4","0","1","2","1","0","0","1","0","0","4","1","0","13","8","1","1","1","0"
"江戸川","0","6","8","12","25","1","12","0","5","0","4","3","0","0","0","0","0","0","0","0","0","18","11","2","0","0","0"
"八王子市","0","10","4","21","51","9","14","0","5","0","6","0","5","0","0","0","0","1","0","0","0","18","11","2","1","1","0"
"町田市","0","0","2","19","36","8","8","0","6","0","3","0","3","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","0","0","0","0","10","2","4","0","4","0","0","4","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","0","11","0","6","12","6","4","1","4","0","3","4","1","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","0","29","1","23","30","5","15","0","4","1","2","0","0","0","0","0","0","0","0","0","0","21","14","2","1","1","0"
"多摩府中","0","15","7","23","48","11","21","0","17","1","9","2","0","0","0","2","0","1","0","0","0","32","21","3","3","3","0"
"多摩小平","0","25","10","13","38","5","25","0","7","0","12","0","1","0","0","2","0","0","0","0","0","23","15","2","2","2","0"
"島しょ","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","1","245","66","209","736","112","325","16","137","3","74","48","31","1","0","13","2","3","6","1","0","414","262","38","25","25","0"
