"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","16","4","1","10","1","0","12","9","0","",""
"区南部","3","2","0","3","0","0","0","0","0","",""
"区西南部","1","2","0","0","0","0","6","1","0","",""
"区西部","29","20","19","22","0","4","56","5","2","",""
"区西北部","15","8","9","9","0","0","8","0","0","",""
"区東北部","2","1","0","0","0","0","6","5","0","",""
"区東部","14","10","6","18","0","1","3","5","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","4","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","2","0","0","0","0","0","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","8","4","0","",""
"島しょ","0","0","0","0","0","0","1","1","0","",""
"合計","82","47","35","62","1","5","104","30","2","",""
