"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","38","20","0","0","20","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","4","1"
"〜1歳","119","12","1","2","76","17","0","0","44","1","1","0","4","0","0","0","0","0","0","0","4","0","0","1","0","0","3","1"
"1歳","539","19","7","5","260","45","5","2","49","0","1","4","2","1","0","0","0","0","1","0","11","1","0","4","2","0","7","4"
"2歳","679","8","5","19","141","56","4","2","4","0","0","2","3","0","0","1","0","0","1","0","6","0","0","1","0","0","5","1"
"3歳","1030","2","6","47","145","57","0","6","2","0","0","4","0","0","0","3","0","0","2","0","5","0","0","1","0","0","4","1"
"4歳","1522","1","5","83","142","52","3","10","0","1","1","8","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"5歳","1588","0","3","56","124","37","0","9","1","0","0","4","0","1","0","0","0","0","3","0","3","1","0","1","1","0","2","1"
"6歳","1514","0","6","56","91","19","0","9","0","0","0","6","3","0","0","1","0","0","1","0","6","1","1","1","1","1","4","1"
"7歳","1368","0","1","46","85","7","0","1","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","1"
"8歳","1170","0","0","42","64","5","0","1","0","0","0","3","0","0","0","0","0","1","1","0","2","0","0","1","0","0","1","1"
"9歳","983","0","0","25","77","3","1","5","0","0","1","1","1","0","0","0","0","0","0","0","4","0","0","1","0","0","3","1"
"10〜14歳","3084","0","0","36","185","6","0","1","0","0","0","4","0","0","0","3","0","0","4","0","6","1","0","0","0","0","5","0"
"15〜19歳","651","0","0","1","43","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"20〜29歳","721","0","0","14","226","4","0","0","0","4","1","1","0","0","0","1","0","0","2","0","2","0","0","0","0","0","2","0"
"30〜39歳","1300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","1021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"50〜59歳","368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","2","0"
"60〜69歳","291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","5","0","0","0","0","0","5","0"
"70〜79歳","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","10","1","1","1","0","0","8","1"
"80歳以上","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","3","0","1","0","0","12","1"
"合計","18224","62","34","432","1679","309","13","46","101","6","5","39","14","2","0","21","1","1","17","0","89","9","2","15","4","1","69","15"
