"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","16","0","0","14","3","0","0","1","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","22","3","0","171","20","4","0","32","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","2","19","16","8","534","50","7","4","52","0","0","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","2","17","5","13","328","59","6","1","9","1","2","2","3","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"3歳","6","0","5","43","274","59","7","3","0","0","0","5","2","1","0","2","0","0","2","0","0","0","0","0","0","0","0","0"
"4歳","9","3","10","50","289","62","4","5","1","0","1","11","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"5歳","10","1","9","50","230","59","6","9","1","0","2","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","1","0","3","56","155","37","1","11","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","8","0","3","59","170","14","2","3","0","0","1","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"8歳","11","0","1","43","104","9","1","3","0","0","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","11","0","2","37","79","3","1","1","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","16","0","2","52","185","5","2","0","0","2","2","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","0","0","4","35","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","2","11","172","0","0","1","0","3","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","97","78","61","426","2740","380","41","41","96","8","11","48","12","4","0","13","0","0","14","0","0","0","0","0","0","0","0","0"
