"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","13","0","0","0","9","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","5","4","0","2","0","0"
"中央","1","0","0","0","2","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"日本橋","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"みなと","1","0","0","0","3","4","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","7","6","1","1","0","0"
"新宿区","15","0","0","1","29","8","0","0","2","0","1","0","0","4","0","0","0","2","0","0","0","0","0","0","7","6","2","2","0","0"
"文京","25","0","0","3","24","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0","4","3","1","1","0","0"
"台東","17","0","0","2","29","4","2","7","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"墨田区","3","0","0","0","8","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","2","4","3","0","1","0","0"
"江東区","10","0","1","7","38","6","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","4","3","1","0","0","0"
"品川区","12","0","0","0","39","5","0","7","4","1","0","0","0","4","2","0","0","0","0","0","0","0","0","0","7","6","0","0","0","0"
"目黒区","0","0","0","1","9","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"大田区","11","0","0","5","56","6","1","4","6","0","0","0","0","7","1","0","0","0","0","0","0","0","0","0","10","9","1","1","0","0"
"世田谷","43","0","0","0","55","11","0","1","8","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","9","8","0","2","0","0"
"渋谷区","22","0","0","0","29","3","1","1","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","5","4","1","2","0","0"
"中野区","26","0","0","0","42","4","0","4","2","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","7","6","0","1","0","0"
"杉並","7","0","0","0","18","1","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","7","6","0","1","0","0"
"池袋","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","1","0","0"
"長崎","0","0","0","0","7","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"北区","39","0","0","1","22","11","1","2","4","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0"
"荒川区","11","0","0","0","13","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0"
"板橋区","19","0","0","0","32","4","0","4","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","7","6","0","1","0","0"
"練馬区","24","0","0","2","20","9","3","4","2","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","6","5","0","0","0","0"
"足立","20","0","0","0","38","5","0","2","1","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0"
"葛飾区","23","0","0","10","25","14","0","5","3","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0"
"江戸川","5","0","0","0","25","2","0","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0"
"小岩","6","0","0","0","5","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"八王子","14","0","0","0","15","4","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","3","2","1","1","0","0"
"秋川","25","0","0","3","23","8","0","1","3","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0"
"町田市","33","0","0","4","25","4","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","0"
"多摩川","40","0","0","1","28","6","1","1","1","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","4","3","0","1","0","0"
"南多摩","16","0","0","1","14","3","0","2","4","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"多摩立川","15","0","0","3","15","0","0","3","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","5","4","0","1","0","0"
"村山大和","9","0","0","0","3","3","0","0","2","0","0","0","0","5","1","0","0","1","0","0","0","0","0","0","3","2","1","0","0","0"
"府中小金井","19","0","0","5","3","3","1","0","1","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","4","3","0","1","0","0"
"狛江調布","4","0","1","0","9","14","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","4","3","0","0","0","0"
"三鷹武蔵野","7","0","0","1","10","3","1","3","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","5","4","2","1","0","0"
"多摩小平","62","0","0","1","24","4","0","2","6","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","4","3","0","1","0","0"
"多摩東村山","28","0","2","2","36","2","0","1","1","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","4","3","0","2","0","0"
"島しょ","30","0","0","0","0","8","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0"
"合計","655","0","4","53","786","171","12","60","66","1","2","4","9","130","8","1","0","8","0","0","1","0","0","2","178","142","14","25","0","0"
