"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","17","5","3","2","1","0","3","0","0","0","",""
"区南部","9","0","0","0","0","1","0","0","0","0","",""
"区西南部","6","8","3","1","1","0","1","0","0","0","",""
"区西部","12","16","13","3","1","0","8","1","0","0","",""
"区西北部","16","6","0","1","1","0","3","5","0","0","",""
"区東北部","0","1","0","0","0","0","1","4","0","0","",""
"区東部","8","2","4","0","4","0","0","3","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","11","2","1","1","3","0","0","0","0","0","",""
"北多摩西部","11","2","0","1","1","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","14","10","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","90","42","24","9","12","1","30","25","0","0","",""
