"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","35","24","12","17","0","1","15","3","1","0","",""
"区南部","3","0","0","2","0","0","4","0","0","0","",""
"区西南部","6","5","1","3","0","1","3","0","0","0","",""
"区西部","30","12","25","44","0","1","11","1","0","0","",""
"区西北部","9","11","7","6","0","0","3","1","0","0","",""
"区東北部","2","0","0","2","1","0","3","7","0","0","",""
"区東部","13","11","1","12","0","1","2","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","1","0","0","20","7","2","0","",""
"北多摩北部","0","0","0","0","0","0","1","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","98","63","46","87","1","4","62","22","3","0","",""
