"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","11","6","0","0"
"1〜4歳","0","0","0","0","0","0","6","5","0","0"
"5〜9歳","0","0","0","0","0","0","4","1","1","0"
"10〜14歳","0","0","0","0","0","0","1","1","0","0"
"15〜19歳","18","1","2","7","1","0","0","0","0","0"
"20〜24歳","36","6","14","14","3","1","1","0","0","0"
"25〜29歳","41","13","17","24","0","2","1","0","0","0"
"30〜34歳","35","20","12","21","4","3","2","0","0","0"
"35〜39歳","34","15","8","10","0","5","0","0","0","0"
"40〜44歳","19","16","9","9","0","5","4","2","0","0"
"45〜49歳","13","12","7","7","0","0","1","0","1","0"
"50〜54歳","9","11","4","4","0","0","3","0","0","0"
"55〜59歳","3","7","3","1","2","0","2","0","1","0"
"60〜64歳","3","2","4","0","0","0","3","2","0","0"
"65〜69歳","0","0","1","0","0","0","2","2","0","0"
"70歳以上","0","5","0","0","1","0","46","7","1","0"
"合計","211","108","81","97","11","16","87","26","4","0"
