"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","4","0","2","11","1","0","2","0","0","0","2","2"
"中央区","11","3","1","5","1","0","0","0","0","0","3","0"
"みなと","12","34","14","0","0","3","3","0","0","0","2","1"
"新宿区","24","23","58","32","1","8","18","3","0","0","7","2"
"文京","4","1","2","4","0","0","1","0","1","0","1","1"
"台東","24","12","9","37","3","0","0","0","0","0","2","0"
"墨田区","4","2","1","1","1","0","7","0","0","0","2","1"
"江東区","12","6","2","4","0","1","0","0","0","0","2","0"
"品川区","8","2","0","4","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0","0"
"大田区","16","1","0","2","0","1","0","0","0","0","2","1"
"世田谷","0","0","0","0","0","0","3","1","0","0","0","2"
"渋谷区","19","10","2","3","1","2","0","0","0","0","5","1"
"中野区","5","0","0","1","0","0","0","0","0","0","2","1"
"杉並","5","0","0","3","0","0","2","0","0","0","2","1"
"池袋","24","10","4","9","0","1","3","7","1","0","3","1"
"北区","1","1","0","0","0","0","0","0","0","0","1","0"
"荒川区","3","1","0","0","0","0","0","0","0","0","1","0"
"板橋区","9","3","1","6","0","0","2","0","1","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0","0"
"足立","7","0","1","4","0","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","7","2","0","0","0","1"
"江戸川","6","2","0","1","0","0","0","0","0","0","2","0"
"八王子市","1","2","0","0","0","0","1","0","0","0","4","1"
"町田市","3","1","1","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","9","0","1","2","2","0","2","0","0","0","2","1"
"多摩府中","0","0","1","0","0","0","27","0","0","0","3","3"
"多摩小平","0","0","0","0","0","0","0","3","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","0","1"
"合計","211","114","100","129","10","16","78","16","3","0","55","25"
