"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","16","9","3","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","3","39","8","3","0","20","0","4","0","6","5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"1歳","6","51","15","15","4","41","0","14","0","11","14","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","4","27","12","14","3","38","0","14","0","7","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","8","18","3","13","8","18","2","5","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","10","27","2","7","5","29","1","5","0","1","10","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","7","26","1","11","11","21","1","3","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","9","25","0","4","7","17","3","1","0","0","7","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","15","21","0","4","13","15","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","9","30","1","1","10","17","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","9","27","0","0","7","12","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","22","199","0","0","15","22","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","19","159","1","0","4","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","16","322","1","4","8","28","1","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","17","300","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","18","373","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","7","351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","217","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","184","2449","53","79","95","283","13","48","2","27","71","3","5","1","0","7","0","0","0","0","0","1","0","0","0","0","0","1","0"
