"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","1","3","156","1","0","5","3","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","4","4","3","0","2","2","2"
"中央区","5","3","228","0","0","2","21","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","3","1","0","0","0"
"みなと","2","1","323","1","0","17","33","0","0","2","2","0","1","0","0","0","0","0","0","0","0","0","1","2","9","9","6","0","1","1","1"
"新宿区","3","10","278","2","3","11","18","11","0","2","1","0","0","0","0","0","2","0","0","3","0","0","0","2","12","12","8","2","2","2","2"
"文京","7","4","582","1","1","20","21","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","2","7","7","4","1","1","1","1"
"台東","3","5","337","1","0","13","70","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","4","0","0","0","0"
"墨田区","3","5","126","0","1","14","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8","8","5","1","1","1","1"
"江東区","5","5","937","3","1","38","118","9","0","6","2","1","2","1","0","0","0","0","0","0","0","0","0","0","14","14","9","1","0","0","0"
"品川区","5","2","430","2","1","21","30","1","0","8","1","0","0","0","0","0","1","0","0","0","0","0","0","0","12","12","8","1","0","0","0"
"目黒区","6","3","320","5","1","15","11","4","0","2","1","0","1","1","0","0","0","0","0","0","0","0","0","0","8","8","5","1","0","0","0"
"大田区","10","9","645","2","19","26","124","7","3","8","5","0","2","0","0","0","0","0","0","0","0","0","0","0","21","21","13","2","1","1","1"
"世田谷","16","20","1074","0","4","45","82","2","1","1","2","0","0","0","0","0","1","0","0","0","0","0","0","1","24","24","16","2","2","2","2"
"渋谷区","5","5","168","1","0","3","8","3","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","1","7","7","4","1","1","1","1"
"中野区","4","4","985","1","1","39","19","3","1","2","5","0","2","0","0","0","0","0","0","0","0","0","0","0","10","10","6","1","0","0","0"
"杉並","4","9","494","3","4","26","59","3","1","0","0","0","1","1","2","0","0","0","0","0","0","1","0","4","17","17","11","1","2","2","2"
"池袋","3","11","645","2","2","18","24","20","0","1","2","1","1","0","0","0","2","0","0","0","0","0","0","0","8","8","5","1","1","1","1"
"北区","5","5","553","3","0","27","53","3","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","7","1","0","0","0"
"荒川区","2","4","428","2","0","16","36","5","1","11","5","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","4","1","0","0","0"
"板橋区","13","7","595","1","1","8","40","3","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","16","16","10","2","1","1","1"
"練馬区","12","8","742","4","9","68","78","8","4","7","3","0","1","0","0","0","0","0","0","0","0","0","0","0","21","21","13","2","0","0","0"
"足立","10","22","963","5","6","7","66","1","0","22","6","0","0","0","5","0","1","0","0","0","0","0","0","0","20","20","13","2","0","0","0"
"葛飾区","7","9","486","0","0","5","53","1","1","4","2","0","0","0","0","0","0","0","0","0","0","0","1","2","13","13","8","1","1","1","1"
"江戸川","10","19","907","2","5","35","45","2","1","3","4","0","1","0","0","0","3","0","0","0","0","0","0","0","19","18","12","2","0","0","0"
"八王子市","6","14","1811","5","1","30","161","2","3","26","11","0","4","1","0","0","2","0","0","0","0","0","0","0","18","18","11","2","1","1","1"
"町田市","4","5","1261","3","0","35","76","12","1","8","1","0","3","1","0","0","0","0","0","0","0","0","0","0","13","13","8","1","0","0","0"
"西多摩","8","6","252","0","0","3","25","0","0","8","1","0","1","0","0","0","1","0","0","0","0","0","0","0","13","13","7","1","1","1","1"
"南多摩","4","13","724","1","1","26","43","18","2","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","12","12","8","1","0","0","0"
"多摩立川","22","12","880","4","0","48","55","11","2","7","1","1","2","0","0","0","0","0","0","0","0","0","0","1","21","21","14","2","1","1","1"
"多摩府中","27","19","1984","2","3","66","182","22","1","21","9","2","3","1","0","0","1","0","0","1","0","1","1","4","34","34","21","3","3","3","3"
"多摩小平","19","11","1388","1","4","82","148","23","1","19","10","0","0","0","1","0","1","1","0","0","0","0","0","7","23","23","15","2","2","2","2"
"島しょ","3","2","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","1","1"
"合計","234","255","20725","58","68","769","1709","177","25","184","85","5","27","7","8","1","15","1","1","4","0","2","3","27","416","415","262","39","25","25","25"
