"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","14","3","3","33","3","4","1","3","0","2","1","0","1","0","1","0","0","2","0","0","0","","","","","",""
"区南部","0","13","2","6","59","4","5","3","4","0","2","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","1","7","1","9","33","13","8","5","4","0","1","2","2","0","0","1","1","0","1","0","1","0","","","","","",""
"区西部","1","8","1","8","46","6","6","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","3","5","4","14","68","6","5","1","11","0","5","1","0","0","0","3","0","0","0","0","0","0","","","","","",""
"区東北部","5","14","4","14","103","8","3","3","8","0","3","1","1","0","0","1","0","0","1","0","0","0","","","","","",""
"区東部","6","4","8","24","53","4","6","2","7","0","1","3","0","0","0","0","0","1","0","0","0","0","","","","","",""
"西多摩","0","5","1","1","6","1","2","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","1","17","5","28","105","17","3","1","8","1","2","6","1","0","0","2","0","0","0","0","0","0","","","","","",""
"北多摩西部","6","2","0","16","17","4","3","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","1","7","2","15","19","13","4","1","3","0","0","5","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","8","13","6","5","16","5","6","1","2","0","3","2","2","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","33","109","37","143","558","84","55","19","57","1","22","23","7","2","0","9","1","1","4","0","1","0","","","","","",""
