"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","1","0","0","0","2"
"中央区","10","3","1","3","0","0","0","0","0","2","0"
"みなと","19","12","4","8","0","0","0","0","0","2","1"
"新宿区","40","13","13","30","1","0","38","14","2","5","2"
"文京","0","0","0","0","0","0","10","5","0","1","1"
"台東","19","14","2","4","12","1","0","0","0","4","0"
"墨田区","3","1","1","3","0","0","14","4","0","1","1"
"江東区","31","6","8","9","0","0","0","0","0","3","0"
"品川区","3","0","0","1","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","0","0","0","0","0","0","6","0","0","3","1"
"世田谷","0","0","0","0","0","0","5","0","0","0","2"
"渋谷区","7","3","2","1","0","0","3","34","0","3","2"
"中野区","4","0","0","1","0","0","0","0","0","1","1"
"杉並","0","0","0","0","0","0","0","0","0","0","1"
"池袋","29","12","9","15","0","1","13","10","0","3","1"
"北区","1","0","0","0","0","0","0","0","0","1","0"
"荒川区","2","1","0","0","0","0","0","0","0","1","0"
"板橋区","2","6","2","4","0","0","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","4","0","0","6","0","0","0","0","0","1","0"
"葛飾区","0","0","0","0","0","0","11","0","0","0","1"
"江戸川","0","0","0","0","0","0","0","0","0","0","0"
"八王子","9","5","1","1","1","8","9","0","0","3","1"
"秋川","0","0","0","0","0","0","0","0","0","0","0"
"町田市","1","0","0","0","1","0","0","0","0","1","0"
"多摩川","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","15","2","1","14","1","0","0","0","0","2","1"
"村山大和","0","0","0","0","0","0","0","0","0","0","0"
"府中小金井","0","0","0","0","0","0","0","0","0","0","1"
"狛江調布","0","0","0","0","0","0","0","0","0","0","0"
"三鷹武蔵野","2","0","1","1","0","0","0","2","0","1","1"
"多摩小平","0","0","0","0","0","0","0","0","0","0","1"
"多摩東村山","0","0","0","0","0","0","4","0","0","0","1"
"島しょ","0","0","0","0","0","0","1","0","0","0","1"
"合計","201","78","45","101","16","10","115","69","2","41","25"
