"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","5","2","0","0","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"〜1歳","39","5","0","1","53","1","2","1","10","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"1歳","98","1","3","6","131","4","2","1","23","1","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","3","0"
"2歳","79","2","6","14","114","1","2","1","4","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","1","1","1"
"3歳","108","0","4","23","88","2","3","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","118","1","1","38","79","2","0","1","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","121","0","1","37","76","2","1","3","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","129","0","0","41","57","1","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","113","0","0","42","40","4","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","110","0","1","23","31","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1"
"9歳","76","0","1","25","31","1","1","1","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","311","0","0","27","88","7","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"15〜19歳","131","0","0","8","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","148","0","1","18","162","1","0","0","0","4","1","0","0","0","1","0","0","0","0","0","2","1","0","0","0","0","1","0"
"30〜39歳","226","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0"
"40〜49歳","310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","1","1"
"50〜59歳","175","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","85","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0"
"70〜79歳","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0"
"80歳以上","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","2","2","0","0","0","7","0"
"合計","2458","11","18","303","983","28","12","16","41","5","7","3","0","0","7","0","0","4","0","0","28","4","2","3","1","1","21","4"
