"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","3","0","0","9","2","2","0","7","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","12","0","0","55","7","4","0","30","0","1","0","1","0","0","0","0","0","0","0"
"1歳","5","9","13","7","106","12","21","0","49","0","5","2","3","1","0","1","0","0","0","0"
"2歳","4","0","1","11","61","17","14","7","4","1","4","7","0","0","0","1","0","0","1","0"
"3歳","5","2","7","7","59","16","7","5","1","1","1","11","1","0","0","0","0","0","0","0"
"4歳","9","1","3","14","58","10","4","7","0","0","2","15","3","1","0","0","0","0","1","0"
"5歳","1","0","4","33","52","7","5","5","0","0","3","14","0","0","0","0","0","0","1","0"
"6歳","7","0","3","18","36","9","3","2","0","0","2","7","1","0","0","0","0","0","1","0"
"7歳","3","0","2","26","24","4","2","9","0","0","0","6","0","0","0","1","0","0","2","0"
"8歳","3","0","2","16","23","3","0","3","0","0","0","4","0","0","0","0","0","0","0","0"
"9歳","3","0","2","11","23","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","5","0","0","13","55","0","0","6","0","2","2","4","0","0","0","1","0","2","1","0"
"15〜19歳","0","0","0","1","19","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"20〜29歳","5","0","1","7","65","0","1","0","0","4","2","0","0","0","0","3","0","0","0","0"
"30〜39歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"合計","53","27","38","164","645","87","64","46","91","9","22","70","9","2","1","16","0","2","8","1"
