"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","7","6","0"
"1〜4歳","0","0","0","0","0","0","10","23","0"
"5〜9歳","0","0","0","0","0","0","2","3","0"
"10〜14歳","0","0","0","0","0","0","7","2","0"
"15〜19歳","5","2","1","3","0","0","0","0","0"
"20〜24歳","36","11","10","16","4","0","7","0","0"
"25〜29歳","48","16","8","29","5","1","0","0","0"
"30〜34歳","29","16","10","9","0","0","2","0","0"
"35〜39歳","18","15","8","11","6","1","3","0","0"
"40〜44歳","22","11","6","7","0","0","2","0","0"
"45〜49歳","7","7","1","3","3","0","3","0","0"
"50〜54歳","5","2","0","2","0","0","6","0","0"
"55〜59歳","1","5","2","3","0","0","7","2","0"
"60〜64歳","1","1","0","0","0","0","18","1","1"
"65〜69歳","0","3","0","0","0","0","12","1","1"
"70歳以上","0","0","0","0","0","0","66","9","0"
"合計","172","89","46","83","18","2","152","47","2"
