"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","9","2","0","0"
"1〜4歳","0","0","0","0","0","0","2","17","0","0"
"5〜9歳","0","0","0","0","0","0","2","4","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","17","5","2","5","0","0","2","0","0","0"
"20〜24歳","35","10","10","18","1","0","0","0","0","0"
"25〜29歳","36","16","13","24","4","1","2","0","0","0"
"30〜34歳","34","21","17","18","2","2","0","1","0","0"
"35〜39歳","22","18","11","14","1","1","2","0","0","0"
"40〜44歳","20","8","5","11","0","0","1","0","0","0"
"45〜49歳","14","9","6","5","1","1","3","1","1","0"
"50〜54歳","5","2","3","3","0","0","4","1","0","0"
"55〜59歳","6","3","2","0","0","0","0","1","0","0"
"60〜64歳","3","5","0","3","0","1","7","0","0","0"
"65〜69歳","0","1","1","0","0","0","8","2","0","0"
"70歳以上","0","3","1","1","0","1","46","10","2","0"
"合計","192","101","71","102","9","7","89","39","3","0"
