"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","1","0","0"
"1〜4歳","0","0","0","0","0","0","1","10","0","0"
"5〜9歳","0","0","0","0","0","0","1","5","0","0"
"10〜14歳","2","0","0","0","0","0","1","0","0","0"
"15〜19歳","7","1","3","1","0","0","0","0","0","0"
"20〜24歳","19","2","8","1","2","0","1","0","0","0"
"25〜29歳","25","5","3","5","0","0","0","0","0","0"
"30〜34歳","18","6","2","2","1","0","0","0","0","0"
"35〜39歳","9","2","2","0","4","0","0","0","0","0"
"40〜44歳","7","2","0","1","0","0","0","0","0","0"
"45〜49歳","0","4","0","0","1","0","0","0","0","0"
"50〜54歳","0","2","0","0","1","0","0","0","0","0"
"55〜59歳","0","0","0","0","0","0","0","0","0","0"
"60〜64歳","0","2","0","0","0","0","3","1","0","0"
"65〜69歳","0","2","1","0","0","0","0","1","0","0"
"70歳以上","0","1","0","0","1","0","10","7","0","0"
"合計","87","29","19","10","10","0","21","25","0","0"
