"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","3","55","2","1","4","4","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","",""
"中央区","0","3","87","1","0","0","9","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"みなと","0","4","171","2","0","6","9","1","3","2","0","4","0","2","0","0","0","0","0","0","0","0","2","1","","","","","","",""
"新宿区","1","1","171","0","0","6","10","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","","","","","","",""
"文京","1","4","257","1","2","6","12","3","2","1","0","0","0","2","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"台東","0","5","209","0","2","5","23","3","2","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","0","3","78","0","0","1","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"江東区","0","5","406","0","3","12","37","6","4","0","1","1","1","1","1","0","3","0","0","0","0","0","0","0","","","","","","",""
"品川区","1","1","219","0","3","8","12","4","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"目黒区","0","3","145","1","0","11","11","0","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"大田区","2","4","481","4","10","30","39","2","2","5","4","1","1","1","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"世田谷","0","12","536","0","2","23","40","4","4","1","2","3","2","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"渋谷区","0","2","80","0","1","1","4","3","0","4","0","1","0","0","0","0","1","0","0","0","0","0","0","1","","","","","","",""
"中野区","1","8","425","0","0","28","21","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"杉並","1","8","258","0","1","10","21","2","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"池袋","0","8","268","0","1","4","19","8","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"北区","0","5","298","0","3","15","16","2","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"荒川区","0","6","268","0","0","4","16","0","0","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","0","7","337","0","0","4","12","2","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","","",""
"練馬区","1","13","553","0","1","24","35","1","1","5","4","3","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"足立","1","10","665","1","4","8","35","0","1","12","1","1","0","0","1","0","1","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","1","13","354","0","0","7","16","1","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"江戸川","2","15","582","0","5","21","28","1","2","3","1","0","1","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"八王子市","1","4","920","0","1","12","60","2","2","18","6","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"町田市","2","3","750","3","0","24","78","13","7","3","4","3","0","2","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","0","2","141","1","0","0","6","3","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"南多摩","0","11","379","1","0","11","13","2","1","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","0","3","363","0","1","18","17","8","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","1","","","","","","",""
"多摩府中","1","15","933","1","6","36","56","4","0","8","1","0","2","3","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"多摩小平","7","8","738","1","1","35","80","2","3","11","6","3","0","0","0","0","1","0","0","1","0","0","0","4","","","","","","",""
"島しょ","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","23","189","11136","19","48","374","743","81","41","105","49","26","10","15","3","0","8","0","0","4","0","1","2","15","","","","","","",""
