"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","1","0","0","0","3","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","0","0","1","28","4","0","0","16","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"1歳","9","0","1","0","82","19","4","0","12","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"2歳","4","0","3","1","80","19","1","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"3歳","6","1","0","8","69","14","0","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0"
"4歳","4","0","1","4","49","10","1","3","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"5歳","4","0","1","7","42","11","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"6歳","3","0","0","3","32","3","0","3","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0"
"7歳","4","0","1","3","31","3","1","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"8歳","7","0","0","1","25","3","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"9歳","1","0","0","2","23","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"10〜14歳","8","0","0","2","49","3","0","0","0","0","0","0","0","6","0","0","0","0","0","0","1","0","0"
"15〜19歳","1","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"20〜29歳","11","2","0","5","208","3","0","2","0","0","0","0","0","5","0","0","0","4","0","0","0","0","0"
"30〜39歳","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","96","3","7","37","746","98","7","16","30","0","0","0","0","55","2","0","0","5","0","0","1","0","0"
