"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","10","88","6","3","25","37","3","104","2","4","10","2","1","1","0","1","0","0","1","0","0","2","11","","","","","",""
"区南部","4","75","13","5","11","54","2","81","3","2","36","1","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"区西南部","2","120","8","3","26","47","2","84","15","3","34","1","3","0","0","1","0","0","0","0","0","0","6","","","","","",""
"区西部","3","104","3","10","29","39","4","80","2","5","14","1","1","1","0","2","0","0","2","0","0","0","10","","","","","",""
"区西北部","2","169","8","8","54","43","7","109","4","5","47","1","2","0","0","1","0","0","1","0","0","0","3","","","","","",""
"区東北部","1","153","11","8","34","43","2","77","2","4","25","1","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"区東部","4","149","3","6","40","57","1","165","1","3","39","3","1","0","0","0","0","0","0","0","0","0","2","","","","","",""
"西多摩","0","25","1","2","3","5","0","35","2","1","4","1","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"南多摩","1","111","8","5","58","72","1","169","1","6","43","3","0","0","0","2","0","0","0","0","0","0","3","","","","","",""
"北多摩西部","3","56","4","3","24","17","0","53","1","2","18","0","0","0","0","1","0","0","0","0","0","0","2","","","","","",""
"北多摩南部","2","91","5","2","39","51","1","88","13","6","18","1","3","0","0","2","1","0","2","0","0","0","5","","","","","",""
"北多摩北部","3","69","8","6","63","45","2","140","0","3","26","0","1","0","0","0","0","0","1","0","0","0","4","","","","","",""
"島しょ","0","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","35","1220","79","61","406","510","25","1185","46","44","314","15","14","2","0","10","1","0","7","0","0","2","53","","","","","",""
