"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","6","1","8","26","2","38","0","7","0","8","5","0","0","0","2","0","0","2","0","0","","","","","",""
"区南部","0","15","4","17","58","4","27","2","9","0","17","1","0","0","0","1","0","1","1","0","0","","","","","",""
"区西南部","4","3","3","9","35","3","51","4","11","0","13","4","3","0","0","2","0","1","2","0","0","","","","","",""
"区西部","0","7","0","9","47","4","46","1","5","0","12","7","0","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","0","1","3","7","38","4","47","4","11","0","39","4","1","0","0","3","0","0","0","0","0","","","","","",""
"区東北部","0","11","5","7","59","10","56","3","12","0","24","2","3","0","0","3","0","0","9","0","0","","","","","",""
"区東部","1","15","8","11","75","8","66","3","13","0","32","1","3","0","0","0","0","2","0","0","0","","","","","",""
"西多摩","0","0","0","0","9","3","30","0","5","0","4","1","0","0","0","0","0","0","2","0","0","","","","","",""
"南多摩","2","3","8","12","66","6","116","4","20","0","40","9","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","4","0","6","23","3","28","2","1","0","19","1","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","1","5","9","13","10","43","0","4","0","37","1","2","0","0","1","0","0","1","0","0","","","","","",""
"北多摩北部","1","7","1","4","34","2","45","0","10","0","24","2","2","0","0","1","0","0","7","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","9","73","38","99","483","59","593","23","108","0","269","38","16","0","0","13","0","4","24","0","0","","","","","",""
