"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","1","0","0","0","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","1","3","0","22","7","0","0","28","1","0","0","1","0","0","0","0","0","0","0"
"1歳","0","0","7","4","54","14","5","1","23","0","2","2","1","2","0","0","0","0","0","0"
"2歳","1","0","3","11","51","16","4","2","3","0","5","0","1","0","0","1","0","0","0","0"
"3歳","2","0","5","20","39","18","1","4","0","0","3","2","0","0","0","0","0","0","0","0"
"4歳","1","0","6","24","51","18","0","4","0","0","0","3","1","0","0","0","0","0","1","0"
"5歳","1","0","2","19","47","9","0","2","1","0","1","6","0","0","0","0","0","0","0","0"
"6歳","0","0","1","23","31","7","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"7歳","0","0","1","21","27","1","0","3","0","0","0","7","0","0","0","0","0","0","0","0"
"8歳","1","0","1","17","21","3","0","1","0","2","0","2","0","0","0","0","0","0","0","0"
"9歳","0","0","0","11","25","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"10〜14歳","0","0","0","11","27","2","0","1","0","0","0","2","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","10","0","0","2","0","0","0","1","0","0","0","1","0","0","0","0"
"20〜29歳","4","1","3","19","69","1","0","0","0","1","1","2","0","0","0","3","0","0","0","0"
"30〜39歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"40〜49歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","23","2","32","180","479","99","10","22","57","4","12","28","4","2","0","12","0","0","1","0"
