"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","25","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","2","2","0"
"中央区","27","1","0","4","19","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","49","0","8","6","43","1","1","0","2","0","0","2","0","0","0","0","0","1","0","0","0","1","9","6","0","1","1","0"
"新宿区","42","3","1","6","55","1","0","0","3","0","0","1","0","2","0","0","0","0","1","0","0","0","12","8","2","2","2","0"
"文京","40","0","0","7","11","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","26","1","0","7","30","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","49","0","0","1","18","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","8","5","1","1","1","0"
"江東区","83","3","1","10","93","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","57","1","2","5","50","2","0","0","3","0","0","4","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","66","0","2","9","50","11","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","167","3","2","19","94","6","0","3","3","0","0","1","2","0","0","0","0","0","0","0","0","0","20","13","2","1","1","0"
"世田谷","240","2","3","23","74","5","2","1","6","0","0","2","3","0","0","3","1","0","0","0","4","2","24","16","2","2","2","0"
"渋谷区","23","0","0","0","24","1","0","0","2","0","0","1","0","0","0","0","0","0","1","0","11","0","7","4","1","1","1","0"
"中野区","92","1","1","10","70","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","87","0","0","5","47","3","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","2","17","11","1","2","2","0"
"池袋","27","0","1","2","12","2","0","0","0","0","0","0","1","0","0","1","0","0","0","0","7","0","7","4","1","1","1","0"
"北区","51","1","0","4","25","2","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","121","0","0","11","20","0","0","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","46","1","0","7","31","2","1","0","4","0","0","3","1","0","0","0","0","0","0","0","3","0","16","10","2","1","1","0"
"練馬区","139","1","2","31","91","6","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","181","0","5","19","134","2","0","0","3","0","0","4","0","0","0","1","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","118","1","2","8","59","2","0","0","3","0","0","0","1","0","0","5","0","1","1","0","6","1","13","8","1","1","1","0"
"江戸川","118","0","2","23","87","0","0","0","8","0","0","2","0","0","0","0","0","0","0","0","0","0","18","11","2","0","0","0"
"八王子市","156","1","0","28","153","3","0","2","4","0","0","8","0","0","0","0","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","143","0","1","25","80","8","1","2","3","0","0","10","0","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","64","0","0","6","34","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","158","3","1","9","44","0","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","172","0","2","39","46","3","0","5","5","0","0","5","1","0","0","0","0","0","1","0","0","1","21","14","2","1","1","0"
"多摩府中","260","0","3","37","134","5","1","3","11","0","0","7","1","0","0","0","0","0","1","1","3","4","32","20","3","3","3","0"
"多摩小平","175","3","13","47","125","3","1","1","12","0","0","3","2","1","0","2","0","0","0","0","0","4","23","15","2","2","2","0"
"島しょ","6","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","3008","26","52","415","1758","75","9","21","99","0","1","59","13","3","0","15","1","2","5","1","34","16","414","261","39","25","25","0"
