"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","19","5","0"
"1〜4歳","0","0","0","0","0","0","7","11","0"
"5〜9歳","0","0","0","0","0","0","1","5","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","8","1","1","3","1","0","2","0","0"
"20〜24歳","47","13","10","18","5","0","1","0","0"
"25〜29歳","40","15","8","19","3","0","0","0","0"
"30〜34歳","17","9","5","15","2","0","5","0","0"
"35〜39歳","13","6","6","16","2","1","1","2","0"
"40〜44歳","12","6","5","10","1","0","3","4","0"
"45〜49歳","14","6","2","1","1","0","5","0","0"
"50〜54歳","3","3","2","0","1","0","7","0","0"
"55〜59歳","2","2","1","1","0","1","13","1","0"
"60〜64歳","2","1","0","1","0","0","8","1","0"
"65〜69歳","1","0","0","0","0","0","9","3","0"
"70歳以上","1","0","0","0","0","0","54","11","1"
"合計","160","62","40","84","16","2","136","43","1"
