"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","29","20","10","35","5","1","3","0","1","0","",""
"区南部","11","1","0","0","0","1","0","0","0","0","",""
"区西南部","6","7","0","0","1","0","0","0","0","0","",""
"区西部","6","2","17","5","1","0","11","1","0","0","",""
"区西北部","18","7","2","3","0","0","2","0","0","0","",""
"区東北部","6","1","1","0","0","0","4","1","0","0","",""
"区東部","4","2","1","0","1","0","1","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","4","3","1","0","0","0","1","0","0","0","",""
"北多摩西部","8","0","1","2","2","0","1","0","0","0","",""
"北多摩南部","0","0","1","0","0","0","12","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","92","43","34","45","10","2","35","4","1","0","",""
