"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","29","19","8","2","0","0","3","1","0","",""
"区南部","3","0","0","0","0","0","1","0","0","",""
"区西南部","0","0","0","0","0","0","4","0","0","",""
"区西部","11","7","16","4","0","0","16","9","0","",""
"区西北部","16","3","3","0","1","0","3","3","0","",""
"区東北部","1","0","1","0","1","0","6","4","0","",""
"区東部","1","1","1","1","0","0","5","1","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","21","3","0","0","2","0","0","0","0","",""
"北多摩西部","7","3","0","1","1","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","89","36","29","8","5","0","38","18","0","",""
