"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","14","0","0","0"
"1〜4歳","0","0","0","0","0","0","4","7","0","0"
"5〜9歳","0","0","0","0","0","0","4","2","0","0"
"10〜14歳","0","0","0","0","0","0","2","0","0","0"
"15〜19歳","9","5","0","2","0","0","7","0","0","0"
"20〜24歳","31","10","12","18","1","1","0","0","0","0"
"25〜29歳","30","11","13","14","0","1","0","1","0","0"
"30〜34歳","29","9","11","11","3","2","2","0","0","0"
"35〜39歳","22","22","5","14","0","2","1","0","0","0"
"40〜44歳","15","19","8","10","1","0","1","0","0","0"
"45〜49歳","12","12","4","10","2","0","2","0","0","0"
"50〜54歳","3","10","1","1","1","1","0","0","0","0"
"55〜59歳","1","1","2","5","0","1","0","0","1","0"
"60〜64歳","1","3","2","0","0","0","6","0","0","0"
"65〜69歳","2","4","1","2","0","0","5","2","0","0"
"70歳以上","0","2","0","0","2","0","28","10","2","0"
"合計","155","108","59","87","10","8","76","22","3","0"
