"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","2","0","0","9","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","4","0","0","55","4","2","0","19","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1歳","2","5","0","3","191","31","8","1","10","0","0","2","0","3","1","1","0","0","0","0","1","0","0"
"2歳","1","3","3","2","138","18","6","2","1","1","0","0","0","6","0","1","0","0","0","0","0","0","0"
"3歳","3","0","2","7","118","22","7","1","0","0","0","2","2","12","0","0","0","0","0","0","0","0","0"
"4歳","2","0","2","10","131","16","7","2","0","0","0","0","0","12","0","1","0","0","0","0","0","0","0"
"5歳","4","0","1","11","149","14","3","4","0","0","0","1","0","16","0","0","0","0","0","0","0","0","0"
"6歳","6","0","1","9","94","11","2","0","0","0","0","0","0","9","0","0","0","1","0","0","1","0","0"
"7歳","5","0","0","7","74","3","3","1","0","0","0","0","0","6","1","0","0","1","0","0","0","0","0"
"8歳","9","0","2","8","54","1","5","2","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0"
"9歳","4","0","0","6","42","3","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"10〜14歳","9","0","0","5","92","3","0","0","0","0","1","1","0","3","0","0","0","0","0","0","0","0","0"
"15〜19歳","3","0","0","0","30","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"20〜29歳","4","3","0","2","134","1","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"30〜39歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"50〜59歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","62","17","11","70","1311","127","45","15","31","2","1","6","2","75","3","3","0","8","0","0","2","0","0"
