"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","27","34","11","24","0","0","7","3","0","0","",""
"区南部","10","5","3","5","0","1","4","0","0","0","",""
"区西南部","8","3","0","6","0","1","3","0","0","0","",""
"区西部","31","9","22","41","1","11","13","3","0","0","",""
"区西北部","11","3","10","8","0","1","4","6","0","0","",""
"区東北部","1","0","1","5","0","0","4","5","0","0","",""
"区東部","16","9","4","2","7","0","5","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","1","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","1","0","0","0","0","0","24","14","1","0","",""
"北多摩北部","0","0","0","0","0","0","3","4","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","105","63","51","91","8","14","68","37","1","0","",""
