"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","480","4","4","17","103","25","0","1","3","0","0","0","1","0","0","1","0","0","0","0","0","4","","","","","",""
"区南部","559","4","6","16","127","5","1","11","7","0","0","2","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","697","3","3","24","115","13","0","10","2","0","0","1","3","0","0","0","0","0","0","0","0","25","","","","","",""
"区西部","612","4","0","15","96","6","4","0","5","0","0","1","0","0","0","2","0","0","0","0","0","2","","","","","",""
"区西北部","845","2","0","27","142","11","1","2","10","0","0","0","1","0","0","4","0","0","0","0","0","3","","","","","",""
"区東北部","1016","6","2","21","137","6","0","2","11","0","0","1","1","0","0","2","0","0","0","0","0","2","","","","","",""
"区東部","813","3","11","39","171","12","0","4","7","0","0","6","1","0","0","1","0","0","0","0","0","4","","","","","",""
"西多摩","327","1","1","6","37","2","1","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","1400","10","7","60","225","11","1","3","11","0","0","3","1","0","0","0","0","0","0","0","0","3","","","","","",""
"北多摩西部","481","3","2","18","85","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","775","5","1","14","150","14","1","1","5","0","0","0","0","0","0","0","0","0","1","0","0","2","","","","","",""
"北多摩北部","694","3","6","25","51","6","2","6","5","0","0","2","2","0","0","2","0","1","0","0","0","5","","","","","",""
"島しょ","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","8722","48","43","282","1439","113","11","41","67","0","0","19","11","0","0","13","0","1","1","0","0","50","","","","","",""
