"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","35","15","3","0","5","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","4","66","16","4","0","49","0","9","0","11","12","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"1歳","14","97","31","34","4","102","0","28","0","19","27","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","12","54","18","21","7","69","0","26","1","11","23","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","14","38","4","29","20","49","2","18","1","4","20","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","17","53","2","22","22","49","1","10","0","1","13","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","19","54","1","16","27","44","1","8","1","1","17","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","21","48","0","10","20","41","4","4","1","1","10","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","25","44","0","6","25","33","2","1","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","16","55","1","1","21","31","4","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","22","46","0","1","12","24","3","3","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","47","398","0","2","27","59","4","2","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","35","254","1","0","5","11","0","1","0","0","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0"
"20〜29歳","35","612","1","5","15","48","2","1","0","1","6","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","37","549","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","31","632","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","16","623","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","4","370","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","4","233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"合計","375","4403","90","154","205","614","23","113","6","49","136","7","6","4","0","14","1","0","2","0","0","3","0","0","1","0","0","2","1"
