"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","4","0","0"
"1〜4歳","0","0","0","0","0","0","3","3","0","0"
"5〜9歳","0","0","0","0","0","0","3","0","1","0"
"10〜14歳","0","0","0","0","0","0","0","1","0","0"
"15〜19歳","5","0","1","4","0","0","0","0","0","0"
"20〜24歳","14","2","6","9","0","1","1","0","0","0"
"25〜29歳","26","9","8","21","0","2","0","0","0","0"
"30〜34歳","21","13","7","19","1","3","0","0","0","0"
"35〜39歳","28","7","6","10","0","5","0","0","0","0"
"40〜44歳","16","13","9","7","0","5","3","1","0","0"
"45〜49歳","12","9","5","7","0","0","0","0","0","0"
"50〜54歳","9","10","4","4","0","0","2","0","0","0"
"55〜59歳","3","5","3","1","0","0","1","0","1","0"
"60〜64歳","3","2","4","0","0","0","1","1","0","0"
"65〜69歳","0","0","1","0","0","0","0","1","0","0"
"70歳以上","0","3","0","0","0","0","21","4","1","0"
"合計","137","73","54","82","1","16","41","15","3","0"
