"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","10","2","8","15","44","11","0","1","6","0","2","6","0","0","0","2","0","0","0","0","","","","","",""
"区南部","6","0","5","10","55","21","1","5","7","0","0","3","0","0","0","1","0","0","0","0","","","","","",""
"区西南部","10","0","0","14","38","1","0","11","2","0","1","2","0","0","0","1","0","0","0","0","","","","","",""
"区西部","7","0","1","16","62","10","1","0","4","0","0","4","3","0","0","0","0","0","1","0","","","","","",""
"区西北部","5","0","0","4","35","6","2","4","5","0","0","3","0","0","0","1","0","0","0","0","","","","","",""
"区東北部","18","0","0","7","26","4","1","1","8","0","1","1","1","0","0","1","0","0","2","0","","","","","",""
"区東部","16","1","6","20","57","7","4","1","6","0","0","7","2","0","0","0","0","0","0","0","","","","","",""
"西多摩","3","0","0","5","8","5","0","0","0","0","0","3","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","9","0","4","36","77","25","1","6","10","1","0","40","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","3","0","0","7","6","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","1","0","0","4","11","4","0","1","3","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","5","0","1","20","20","8","0","0","2","0","0","3","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","93","3","25","159","439","106","10","30","54","1","4","75","7","0","0","7","0","0","3","0","","","","","",""
