"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","9","1","0","0"
"1〜4歳","0","0","0","0","0","0","1","3","0","0"
"5〜9歳","0","0","0","0","0","0","1","0","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","3","0","0","3","0","0","0","0","0","0"
"20〜24歳","26","6","6","13","1","0","1","0","0","0"
"25〜29歳","27","7","7","18","0","0","0","0","0","0"
"30〜34歳","25","4","11","15","0","3","0","0","0","0"
"35〜39歳","24","8","9","12","0","2","0","0","0","0"
"40〜44歳","12","8","8","9","0","3","0","0","0","0"
"45〜49歳","16","11","11","6","0","0","1","0","0","0"
"50〜54歳","11","10","4","4","0","0","0","0","0","0"
"55〜59歳","0","2","2","0","0","0","2","0","0","0"
"60〜64歳","3","6","2","1","0","0","0","0","0","0"
"65〜69歳","2","3","1","0","0","0","7","0","0","0"
"70歳以上","1","2","1","0","0","1","19","4","1","0"
"合計","150","67","62","81","1","9","42","8","1","0"
