"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","1","3","0","0","3","0","0","2","0","0","2","0","0","0","0","0","0","0","0"
"〜1歳","0","0","8","3","18","7","2","0","16","0","0","21","0","0","2","1","0","0","0","0","0","0","0"
"1歳","0","0","16","1","23","13","11","1","22","0","0","82","0","3","1","0","0","0","0","0","0","0","0"
"2歳","0","0","13","4","30","11","3","5","0","0","0","81","0","3","5","0","0","0","0","0","0","0","0"
"3歳","0","0","11","24","28","23","7","5","0","0","0","59","0","8","0","0","0","0","0","0","0","0","0"
"4歳","0","0","18","17","30","23","3","7","0","0","0","60","0","12","2","0","0","0","0","0","0","0","0"
"5歳","0","0","8","34","33","16","3","14","0","0","0","24","0","7","0","0","0","1","0","0","0","0","0"
"6歳","0","0","4","22","17","12","2","10","0","0","0","13","0","3","0","0","0","0","0","0","0","0","0"
"7歳","1","0","5","17","20","2","0","8","0","0","0","4","0","3","0","0","0","0","0","0","0","0","0"
"8歳","0","0","4","12","11","2","0","6","1","0","0","3","0","8","0","0","0","0","0","1","0","0","0"
"9歳","0","0","0","10","8","1","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","5","12","28","3","0","5","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","1","0","1","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","1","3","31","0","0","0","0","0","0","2","0","1","0","0","0","3","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2","0","94","160","285","116","31","66","42","0","0","354","0","49","12","1","0","7","1","1","1","0","0"
