"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央区","0","0","0","0","0","0","0","0","0","",""
"みなと","0","0","0","0","0","0","0","0","0","",""
"新宿区","15","2","6","6","0","1","31","8","5","",""
"文京","0","2","0","0","0","0","5","9","0","",""
"台東","1","0","0","4","0","0","0","0","0","",""
"墨田区","7","3","3","7","0","0","2","0","0","",""
"江東区","17","6","4","20","0","1","0","0","0","",""
"品川区","0","0","0","1","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","0","3","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","6","0","0","",""
"渋谷区","10","2","1","0","0","0","12","10","0","",""
"中野区","7","2","0","1","1","1","0","0","0","",""
"杉並","0","0","0","0","0","0","1","0","0","",""
"池袋","26","7","10","9","0","0","13","1","0","",""
"長崎","0","0","0","0","0","0","0","0","0","",""
"北区","2","0","0","3","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","4","0","0","3","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","7","0","0","5","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","5","0","3","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"八王子","0","0","0","0","0","0","8","0","3","",""
"秋川","0","0","0","0","0","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"多摩川","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","5","0","1","11","0","0","0","0","0","",""
"村山大和","0","0","0","0","0","0","0","0","0","",""
"府中小金井","0","0","0","0","0","0","0","0","0","",""
"狛江調布","0","0","0","0","0","0","0","0","0","",""
"三鷹武蔵野","8","2","3","8","0","1","0","1","0","",""
"多摩小平","0","0","0","0","0","0","0","0","0","",""
"多摩東村山","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","109","29","28","78","1","4","83","29","11","",""
