"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","28","0","0","5","0","14","0","1","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","68","0","0","55","0","118","2","13","19","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","164","1","2","110","2","406","4","28","80","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","130","2","6","78","2","349","1","18","104","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","0","76","5","3","72","0","232","2","2","49","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","0","36","3","2","58","0","67","0","1","22","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","2","16","0","6","41","2","46","0","2","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","1","6","1","1","29","2","13","0","0","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","1","1","0","5","26","1","8","0","2","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","1","1","0","1","13","5","6","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","3","23","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","1","71","2","6","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","1","1","0","2","17","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","1","1","2","48","0","6","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"30〜39歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","8","528","13","34","646","17","1274","10","67","318","7","8","3","0","6","1","0","0","2","0","0","0","0","0","0","0","0","0"
