"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","13","4","0","0"
"1〜4歳","0","0","0","0","0","0","4","12","0","0"
"5〜9歳","0","0","0","0","0","0","2","1","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","7","0","3","3","1","0","2","0","0","0"
"20〜24歳","29","8","16","17","1","1","0","0","0","0"
"25〜29歳","32","8","14","12","1","1","0","1","0","0"
"30〜34歳","34","20","17","19","0","4","0","0","0","0"
"35〜39歳","28","10","12","15","0","3","2","0","0","0"
"40〜44歳","18","20","8","9","0","1","2","0","0","0"
"45〜49歳","8","9","9","8","0","0","1","0","0","0"
"50〜54歳","5","13","3","1","0","2","4","0","0","0"
"55〜59歳","4","1","5","1","0","0","2","0","0","0"
"60〜64歳","3","2","4","0","0","0","8","3","0","0"
"65〜69歳","0","4","0","0","0","0","7","0","0","0"
"70歳以上","0","4","0","0","0","0","31","10","0","0"
"合計","168","99","91","85","3","12","79","31","0","0"
