"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","21","1","3","21","0","14","5","6","13","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"区南部","1","15","3","6","29","1","9","3","7","21","0","0","1","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","2","17","0","16","26","1","5","6","3","13","1","3","0","0","1","0","2","0","0","0","0","","","","","",""
"区西部","0","23","3","16","26","0","6","3","5","21","1","1","0","0","0","0","0","1","0","0","0","","","","","",""
"区西北部","0","9","2","13","12","3","11","13","2","12","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","3","11","3","9","35","0","17","0","2","14","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","1","31","5","8","29","1","10","10","3","11","0","1","0","0","5","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","0","2","10","1","2","6","2","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","14","4","16","56","1","8","6","6","32","2","0","0","0","3","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","3","0","2","13","0","1","3","1","5","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","15","2","5","17","4","5","3","0","11","2","0","0","0","0","2","0","1","1","0","0","","","","","",""
"北多摩北部","0","26","1","15","14","3","4","11","2","22","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","7","185","24","111","288","15","92","69","39","179","7","9","1","0","11","2","2","3","1","0","0","","","","","",""
