"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","1","0","0","4","0","1","0","3","0","0","0","1","0","0","0","0","0","0","0"
"〜1歳","0","1","0","0","27","3","6","0","25","0","0","0","1","0","0","0","0","0","0","0"
"1歳","0","2","2","4","46","5","18","1","29","0","10","1","2","0","0","0","0","0","0","0"
"2歳","0","1","0","2","23","9","10","4","2","0","9","4","3","0","0","0","0","0","1","0"
"3歳","1","1","3","3","17","5","11","2","0","0","2","6","0","0","0","0","0","0","0","0"
"4歳","1","0","1","5","20","1","5","1","0","0","10","5","0","0","0","0","0","0","0","0"
"5歳","1","0","2","14","18","3","3","4","0","0","4","3","0","0","0","1","0","0","0","0"
"6歳","0","0","3","4","15","1","3","1","0","0","2","4","0","0","0","0","0","0","1","0"
"7歳","2","0","1","1","13","0","2","2","0","0","1","5","0","0","0","0","0","0","0","0"
"8歳","1","0","0","1","3","1","1","1","0","2","5","2","0","0","0","0","0","0","1","0"
"9歳","0","0","1","1","14","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"10〜14歳","3","0","2","4","18","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0"
"15〜19歳","1","0","0","1","10","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0"
"20〜29歳","2","0","2","3","39","0","3","0","0","7","1","4","1","0","0","2","0","0","0","0"
"30〜39歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"40〜49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","15","6","17","43","267","28","64","16","59","10","44","37","9","0","0","20","0","0","4","0"
