"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","10","19","3","3","0","5","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","4"
"〜1歳","31","36","2","18","1","66","1","26","0","15","12","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"1歳","100","50","6","68","11","121","2","104","0","39","30","1","12","1","0","5","0","0","0","0","0","2","3","0","0","1","0","0","1","1","0","0","3"
"2歳","136","34","5","85","21","111","2","94","0","13","28","1","5","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"3歳","205","24","1","90","46","91","2","92","3","4","28","3","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"4歳","299","25","0","97","64","73","4","76","1","1","23","2","2","0","1","1","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","0","0"
"5歳","343","27","0","75","79","85","3","38","2","1","14","0","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"6歳","437","35","0","47","74","64","5","36","0","0","2","4","1","0","0","0","0","0","0","0","0","3","2","1","0","1","0","0","1","1","0","0","2"
"7歳","456","38","0","23","67","51","1","16","3","0","6","1","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"8歳","474","58","0","9","50","34","6","14","0","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","494","77","0","8","34","36","0","8","0","0","2","1","1","0","0","1","0","0","0","0","0","2","1","1","0","0","0","0","1","0","0","0","1"
"10〜14歳","1594","426","0","8","46","97","3","6","0","0","4","4","2","1","0","0","0","0","0","0","0","3","3","0","0","0","0","0","3","0","0","0","3"
"15〜19歳","838","257","0","1","9","28","1","1","0","0","2","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","352","298","0","17","19","72","0","2","0","0","1","0","0","0","0","3","0","0","0","0","0","1","5","0","0","0","0","0","1","0","0","0","5"
"30〜39歳","323","270","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","6"
"40〜49歳","444","347","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0","1","7","0","0","0","0","0","1","0","0","0","7"
"50〜59歳","216","369","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","14","0","0","0","0","0","0","0","0","1","13"
"60〜69歳","97","245","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","13","0","0","0","0","0","2","0","2","0","11"
"70〜79歳","44","196","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","24","0","0","1","1","0","5","1","2","1","22"
"80歳以上","20","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","58","0","0","1","0","0","2","1","1","1","56"
"合計","6913","2951","17","549","521","934","30","517","9","73","153","18","30","2","1","51","0","2","0","1","0","28","145","3","0","5","1","1","21","5","5","4","137"
