"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","1","1","3","22","8","0","0","10","0","0","0","1","0","0","0","0","0","0","0"
"1歳","2","0","2","4","45","16","0","1","17","0","0","2","1","0","0","0","0","0","0","0"
"2歳","3","0","0","2","25","21","0","2","0","0","0","4","0","0","0","0","0","0","0","0"
"3歳","0","1","1","3","32","18","1","2","1","0","0","10","1","0","0","0","0","0","0","0"
"4歳","4","0","1","6","22","4","0","1","1","0","1","9","0","0","0","0","0","0","0","0"
"5歳","9","0","2","12","22","6","1","1","0","0","0","5","1","0","0","0","0","0","1","0"
"6歳","8","0","0","7","19","6","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"7歳","8","0","0","8","14","0","1","2","0","0","0","2","0","0","0","0","0","0","0","0"
"8歳","5","0","1","8","13","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"9歳","4","0","1","4","8","1","0","0","0","0","0","2","0","0","0","0","0","0","1","0"
"10〜14歳","14","0","0","4","19","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0"
"15〜19歳","7","0","0","0","9","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"20〜29歳","10","0","0","5","62","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0"
"30〜39歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"40〜49歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","88","2","9","66","313","82","3","11","30","0","2","43","4","0","1","3","0","0","3","0"
