"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","3","3","0","0"
"1〜4歳","0","0","0","0","0","0","3","6","0","0"
"5〜9歳","0","0","0","0","0","0","0","1","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0","0"
"15〜19歳","11","4","5","2","0","0","0","0","0","0"
"20〜24歳","13","6","8","6","8","0","0","0","0","0"
"25〜29歳","24","5","5","6","2","0","0","0","0","0"
"30〜34歳","11","5","2","2","1","0","1","0","0","0"
"35〜39歳","4","5","5","0","0","0","1","0","0","0"
"40〜44歳","3","2","0","0","1","0","1","1","0","0"
"45〜49歳","4","3","2","2","1","0","1","0","0","0"
"50〜54歳","1","2","0","0","2","0","0","0","0","0"
"55〜59歳","1","0","0","0","1","0","2","1","0","0"
"60〜64歳","0","0","0","0","0","0","2","1","0","0"
"65〜69歳","0","0","0","0","0","1","4","1","0","0"
"70歳以上","1","0","0","1","0","0","7","4","2","0"
"合計","73","32","27","19","16","1","26","18","2","0"
