"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","10","15","7","2","2","0","4","1","1","0","",""
"区南部","8","0","0","0","0","0","0","0","0","0","",""
"区西南部","3","8","2","1","0","0","0","0","0","0","",""
"区西部","11","5","14","7","4","0","6","2","0","0","",""
"区西北部","17","6","4","2","1","1","6","0","0","0","",""
"区東北部","6","4","0","3","1","0","0","2","0","0","",""
"区東部","11","5","2","0","3","1","2","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","11","2","0","1","0","0","0","0","0","0","",""
"北多摩西部","15","4","2","1","0","0","0","0","0","0","",""
"北多摩南部","0","0","1","0","1","0","11","6","0","0","",""
"北多摩北部","0","0","0","1","0","0","2","3","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","92","49","32","18","12","2","31","15","1","0","",""
