"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","42","11","0","0","7","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","179","16","4","0","105","4","0","0","32","0","1","0","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0","4","0"
"1歳","569","20","8","16","253","9","2","3","62","0","0","1","4","0","0","0","0","0","0","0","2","3","0","0","1","0","0","2","1"
"2歳","639","13","4","42","203","8","2","7","13","0","1","3","2","2","0","0","0","0","0","0","1","3","1","0","1","0","0","1","1"
"3歳","770","3","10","61","183","11","1","5","5","0","0","10","2","0","0","1","0","0","2","0","0","4","0","0","3","0","0","1","3"
"4歳","1095","1","9","106","181","24","1","17","1","0","0","27","2","0","0","0","0","1","1","0","0","4","0","0","2","0","1","2","2"
"5歳","1302","2","5","121","180","23","1","16","0","0","0","21","0","0","0","0","0","0","4","0","0","4","0","0","1","0","0","3","1"
"6歳","1267","0","4","120","136","10","0","8","0","0","0","21","0","0","0","0","0","0","1","0","0","2","0","0","1","1","0","1","1"
"7歳","1322","0","1","95","109","3","0","4","0","0","0","18","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"8歳","1158","0","2","94","109","3","0","9","0","0","0","12","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","0"
"9歳","974","0","5","73","75","5","0","3","0","0","0","11","0","0","0","0","0","0","0","0","0","3","1","0","1","0","1","2","1"
"10〜14歳","2132","0","8","97","237","16","0","3","0","0","1","18","0","0","0","1","0","0","5","0","0","2","0","0","0","0","0","2","0"
"15〜19歳","525","0","3","9","80","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","667","1","1","46","345","6","0","1","0","0","1","3","1","0","0","3","0","0","0","0","0","1","0","0","0","0","0","1","0"
"30〜39歳","1227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0","4","0","0","0","0","0","4","0"
"40〜49歳","1399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","616","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","4","0","0","1","1","0","3","1"
"60〜69歳","326","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","1","0","0","6","1"
"70〜79歳","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","7","0","0","0","1","0","6","1"
"80歳以上","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","7","0"
"合計","16365","67","64","880","2203","123","7","76","115","0","4","147","14","2","0","21","0","1","14","1","3","64","3","0","12","3","2","49","13"
