"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","0","2","3","46","0","1","1","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区南部","0","3","3","1","41","1","1","0","6","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","0","2","1","23","0","1","0","3","0","1","3","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","0","0","1","6","28","1","0","1","3","0","1","2","1","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","2","0","2","6","38","3","0","3","8","0","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","3","4","23","1","0","0","5","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","1","1","3","3","38","1","0","1","5","0","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","0","0","11","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","2","6","49","2","1","1","9","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","1","25","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","1","0","0","1","12","1","0","1","4","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩北部","1","0","4","5","33","2","0","1","5","1","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","5","4","22","37","367","13","4","9","56","2","9","10","1","0","2","0","0","0","0","0","0","","","","","",""
