"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","2","0","0","0","2"
"中央区","7","2","2","2","0","0","0","0","0","2","0"
"みなと","14","7","3","4","0","0","0","0","0","2","1"
"新宿区","59","15","13","18","2","1","38","5","1","5","2"
"文京","0","0","0","0","0","0","13","9","1","1","1"
"台東","30","32","6","5","14","0","0","0","0","4","0"
"墨田区","7","8","0","2","0","0","0","3","0","1","1"
"江東区","29","10","5","18","0","0","0","0","0","3","0"
"品川区","2","2","1","0","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","9","0","1","1","0","0","4","0","0","3","1"
"世田谷","0","0","0","0","0","0","9","0","0","0","2"
"渋谷区","9","1","0","2","0","0","5","0","0","3","2"
"中野区","4","1","0","3","0","0","0","0","0","1","1"
"杉並","0","0","0","0","0","0","0","0","0","0","1"
"池袋","34","7","15","11","2","3","15","7","0","3","1"
"北区","0","0","0","4","0","0","0","0","0","1","0"
"荒川区","3","3","0","0","2","0","0","0","0","1","0"
"板橋区","3","2","3","8","0","0","0","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","5","1","5","0","0","0","0","0","0","1","0"
"葛飾区","0","0","0","0","0","0","14","0","0","0","1"
"江戸川","0","0","0","0","0","0","0","0","0","0","0"
"八王子","9","0","0","0","4","0","15","0","0","3","1"
"町田市","2","1","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","4","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","16","5","2","17","0","0","0","0","0","2","1"
"多摩府中","1","1","1","0","0","0","0","0","0","1","2"
"多摩小平","0","0","0","0","0","0","17","0","0","0","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","243","98","57","95","24","4","132","24","6","41","25"
