"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","39","36","12","23","0","3","6","0","1","0","",""
"区南部","4","0","0","0","0","0","3","0","0","0","",""
"区西南部","11","4","0","4","0","0","5","0","1","0","",""
"区西部","48","16","27","44","0","7","9","1","0","0","",""
"区西北部","16","4","7","4","0","1","5","3","0","0","",""
"区東北部","0","0","0","4","0","0","2","4","0","0","",""
"区東部","12","10","0","7","2","0","7","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","2","0","0","2","0","0","27","11","1","0","",""
"北多摩北部","0","0","0","0","0","0","2","5","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","132","70","46","88","2","11","66","25","3","0","",""
