"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","2","0"
"1〜4歳","0","0","0","0","0","0","6","1","0"
"5〜9歳","0","0","0","0","0","0","2","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","2","0","0","0","0","0","2","0","0"
"20〜24歳","11","6","6","15","0","0","0","0","1"
"25〜29歳","14","9","10","20","0","0","0","0","0"
"30〜34歳","29","19","16","31","0","0","1","0","0"
"35〜39歳","36","12","18","16","0","0","0","0","0"
"40〜44歳","16","10","14","14","0","0","0","0","0"
"45〜49歳","3","11","9","8","0","0","2","0","0"
"50〜54歳","11","6","8","5","0","0","0","0","0"
"55〜59歳","1","4","3","1","0","0","1","0","0"
"60〜64歳","0","1","2","0","0","0","1","0","1"
"65〜69歳","0","3","0","1","0","0","3","0","0"
"70歳以上","0","4","0","0","0","0","13","1","0"
"合計","123","85","86","111","0","0","36","4","2"
