"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","3","1","6","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"中央区","0","0","0","6","5","4","2","0","1","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"みなと","0","2","1","3","28","2","3","1","3","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","0","0","0","4","18","1","1","1","0","0","0","1","0","0","0","0","0","0","1","0","","","","","",""
"文京","0","0","0","2","5","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"台東","0","0","0","5","13","1","3","0","3","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","0","0","2","9","2","0","4","2","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"江東区","0","0","1","2","35","4","3","1","2","0","2","3","1","0","0","1","0","0","0","0","","","","","",""
"品川区","0","0","1","8","17","5","1","1","1","0","5","5","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","1","2","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"大田区","5","1","8","12","53","4","0","0","1","0","7","6","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","2","0","2","12","29","9","5","1","2","1","1","4","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","0","0","0","1","11","2","2","2","2","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"中野区","0","1","0","8","27","0","2","4","0","0","0","3","1","0","0","0","0","0","0","0","","","","","",""
"杉並","1","0","0","6","25","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","0","0","1","3","4","1","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北区","0","0","0","1","13","2","1","2","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","0","0","3","6","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","","","","","",""
"板橋区","0","0","0","2","12","3","1","0","1","1","0","2","1","0","0","0","0","0","0","0","","","","","",""
"練馬区","0","1","0","8","12","9","1","0","0","0","0","0","0","0","0","2","0","0","0","0","","","","","",""
"足立","0","0","0","11","26","4","1","3","1","0","0","2","0","0","3","0","0","0","0","0","","","","","",""
"葛飾区","0","0","0","1","6","5","5","8","1","0","5","6","0","0","0","0","0","0","2","0","","","","","",""
"江戸川","0","0","3","7","30","9","3","2","3","7","4","2","1","0","0","0","0","0","0","0","","","","","",""
"八王子市","0","1","3","18","38","4","4","4","3","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"町田市","3","0","0","11","46","9","2","1","5","0","0","8","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","0","5","13","3","3","1","1","0","1","3","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","0","1","20","3","0","1","2","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","0","0","0","4","12","5","0","0","1","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","1","0","0","9","23","11","3","2","2","0","2","2","1","1","0","1","0","0","0","0","","","","","",""
"多摩小平","0","0","1","3","31","15","6","0","4","0","2","3","0","0","0","3","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"合計","12","6","23","158","574","124","56","40","42","9","31","71","8","1","3","7","0","0","3","0","","","","","",""
