"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","48","0","0","15","1","1","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","80","2","1","71","3","20","4","47","0","3","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","1","163","10","15","166","7","64","3","77","0","19","5","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","2","61","16","15","128","10","30","6","17","0","8","8","5","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0"
"3歳","1","16","7","37","131","6","24","10","4","0","5","6","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"4歳","3","9","11","60","105","8","9","16","0","1","1","24","3","0","0","2","0","0","4","0","0","0","0","0","0","0","0","0","0"
"5歳","1","4","7","71","79","19","5","17","0","2","4","35","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"6歳","3","1","4","83","60","13","6","8","0","1","0","21","1","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0"
"7歳","1","1","4","72","59","16","3","4","0","0","1","17","0","0","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0"
"8歳","4","0","2","38","70","11","5","7","0","1","1","17","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0"
"9歳","1","0","0","45","37","7","2","2","0","1","0","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","14","1","1","70","108","5","7","2","0","0","2","16","2","0","0","4","0","0","13","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","4","0","0","4","33","1","4","1","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","2","0","2","28","127","0","0","1","0","3","3","2","1","0","0","4","0","0","3","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","3","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"合計","49","384","66","539","1189","107","180","81","146","10","48","156","31","1","0","33","0","1","48","0","0","0","0","0","0","0","0","0","0"
