"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","1","0","0","10","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"〜1歳","2","5","6","0","64","1","3","0","21","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1歳","4","7","13","4","90","5","3","2","21","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"2歳","8","0","9","11","71","2","3","5","12","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","5","0","3","26","48","9","1","10","6","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"4歳","7","1","4","34","65","11","1","8","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","6","0","2","32","51","8","0","8","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"6歳","2","0","1","32","50","15","3","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","5","0","0","24","36","17","1","6","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"8歳","2","0","0","17","22","12","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","4","0","0","10","28","11","0","2","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"10〜14歳","15","0","1","28","70","15","0","4","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","15","0","0","1","23","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","38","0","2","23","124","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","162","14","41","242","752","107","16","54","61","7","9","5","0","1","4","1","0","1","1","9","0","0","0","0","0","0","0","0"
