"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","19","2","0","51","1","11","1","1","11","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区南部","0","18","7","4","48","1","23","0","4","9","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","0","11","1","4","48","1","18","0","7","6","1","2","0","0","1","0","0","0","0","0","0","","","","","",""
"区西部","0","3","3","4","60","1","8","1","4","3","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","0","5","3","1","65","2","15","1","6","8","2","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","0","3","9","1","76","3","4","0","8","2","1","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区東部","0","13","5","3","67","0","9","1","6","7","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","1","1","21","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","4","3","3","87","4","9","0","7","7","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","8","0","1","20","1","6","0","6","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","3","1","0","42","2","22","0","8","15","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","1","5","3","54","1","11","1","1","2","1","0","0","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","0","90","40","25","639","18","137","5","61","72","9","7","1","0","6","0","1","0","0","0","0","","","","","",""
