"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","6","1","0","15","2","12","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","29","18","3","127","4","304","2","52","75","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","48","48","29","211","8","1130","5","62","238","3","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","2","27","21","44","134","7","534","6","17","153","4","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"3歳","1","9","18","61","165","6","232","17","5","95","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","2","3","20","88","128","14","132","19","5","60","5","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"5歳","3","0","15","92","130","17","71","26","2","47","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","1","0","5","77","104","17","23","10","1","21","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","2","0","2","65","84","21","23","10","0","12","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"8歳","0","0","2","36","70","11","13","6","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","2","29","61","7","7","4","0","1","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","5","0","1","62","138","10","17","3","0","7","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","2","0","1","7","27","1","5","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","1","30","142","1","25","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"合計","24","122","155","623","1536","126","2528","108","145","719","43","21","1","2","9","1","1","9","0","0","0","0","0","0","0","0","0","0"
