"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","34","31","16","28","0","1","7","1","0","0","",""
"区南部","20","3","0","6","0","0","2","0","0","0","",""
"区西南部","3","3","1","0","1","0","3","0","0","0","",""
"区西部","39","7","26","28","0","5","5","2","0","0","",""
"区西北部","14","5","6","14","0","2","3","7","1","0","",""
"区東北部","1","0","0","0","0","0","3","4","0","0","",""
"区東部","20","9","5","17","0","1","1","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","1","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","1","0","0","10","9","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","4","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","132","58","54","94","1","9","35","29","1","0","",""
