"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","2","0","10","15","3","0","2","1","0","0","0","0","3","0","0","0","0","0","0","0","0","3","","","","","",""
"区南部","7","0","2","7","31","6","0","3","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","12","0","1","6","22","10","0","5","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","","","","","",""
"区西部","10","0","6","16","24","3","0","2","2","0","0","0","1","2","0","0","0","1","0","0","1","0","4","","","","","",""
"区西北部","4","0","4","10","15","4","1","3","1","0","0","10","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","4","0","2","3","25","12","2","0","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"区東部","3","0","7","13","29","7","0","1","2","0","0","0","0","1","0","0","0","1","0","0","0","0","4","","","","","",""
"西多摩","3","0","2","0","8","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","18","0","3","31","37","21","2","4","2","0","0","1","3","2","6","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","5","0","0","1","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","13","0","0","3","12","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","16","0","1","7","16","1","0","0","2","0","0","0","0","1","0","0","0","1","0","0","0","0","2","","","","","",""
"島しょ","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","97","2","28","107","235","71","5","23","19","0","0","11","9","11","7","2","0","3","1","0","1","0","13","","","","","",""
