"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","7","24","1","0","0","1","0","1","0","0","4","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"中央区","7","12","0","0","0","6","0","0","0","1","3","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","7","32","18","1","5","3","1","1","0","0","14","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","8","45","13","3","2","7","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","5","23","2","2","2","6","0","2","0","0","5","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"台東","2","22","2","0","2","17","0","4","0","0","38","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","1","76","2","0","2","4","0","3","0","0","16","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江東区","9","60","6","1","6","22","0","4","0","0","22","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","18","32","3","0","8","7","0","2","0","1","18","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","5","34","6","1","3","6","0","4","0","0","14","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","28","81","20","1","10","37","0","6","0","2","40","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","17","106","15","2","15","31","0","4","0","1","44","0","0","1","0","2","0","0","0","0","0","0","","","","","",""
"渋谷区","2","19","1","0","3","11","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","7","62","3","0","4","18","0","1","0","0","32","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","6","80","9","2","3","16","0","0","0","4","12","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","5","47","7","1","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","6","77","4","0","8","8","0","5","0","1","17","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","1","30","25","5","6","14","0","1","0","1","18","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","5","91","18","0","6","8","0","1","0","1","26","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","4","83","12","2","6","13","1","0","0","3","49","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","1","70","6","4","1","36","0","7","0","6","49","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","2","52","2","0","5","12","0","3","0","3","17","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","3","101","10","1","7","21","0","1","0","1","38","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","5","84","17","2","10","58","0","7","0","4","42","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"町田市","9","28","3","1","4","26","1","2","0","0","26","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"西多摩","7","41","2","0","0","14","2","0","0","1","13","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"南多摩","0","49","10","1","1","5","1","4","0","1","33","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","7","58","13","0","15","15","0","1","0","4","66","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","30","188","23","3","9","26","3","2","0","3","88","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","23","76","43","4","23","35","5","2","0","2","37","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","16","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","237","1799","296","37","166","484","14","68","0","40","811","4","9","2","0","7","1","1","0","0","0","1","","","","","",""
